Extension,Popularity
.dkl,Low
.dks,Low
.dlc,High
.dlf,Low
.dlg,Low
.dll,Very High
.dlm,Low
.dlp,Medium
.dlt,Low
.dlu,Low
.dlx,Very High
.dl_,Low
.dm,Low
.dm2,Low
.dmb,High
.dmbk,Low
.dmc,Low
.dmd,Low
.dme,Low
.dmf,Medium
.dmg,Very High
.dmgpart,Low
.dmi,Low
.dmit,Low
.dml,Low
.dmm,Medium
.dmnd,Low
.dmo,Low
.dmp,Very High
.dmrs,Low
.dms,Low
.dmsa,Low
.dmsd,Low
.dmse,Low
.dmskm,Very High
.dmsm,Low
.dmsp,Low
.dmss,Low
.dmv,Low
.dmw,Low
.dmx,Medium
.dmx-info,Medium
.dm_1,Low
.dn,Low
.dna,Low
.dng,Very High
.dni,Low
.dnt,Low
.dntu,Low
.do,Low
.do2,Low
.dob,Medium
.doc,Very High
.doc--,Low
.docb,Low
.docbook,Low
.doce,Low
.docenx,Low
.dochtml,Very High
.dockerfile,Low
.docklet,Low
.dockpack,Low
.docktheme,Low
.dockzip,Low
.docl,Low
.docm,Very High
.docmenx,Low
.docmhtml,Very High
.docx,Very High
.docxe,Low
.docxenx,Low
.docxf,Low
.docxl,Low
.docxml,Very High
.doc_aq,Low
.doe,Low
.dok,Low
.dol,Low
.doo,Low
.dop,Medium
.dorascarnivalsavedgame,Low
.dorasworldadventuresavedgame,Low
.dot,Very High
.dotfuproj,Low
.dothtml,Very High
.dotm,Very High
.dotx,Very High
.download,High
.downloadfile,Low
.downloadhost,Low
.dox,Medium
.do_,Low
.dp,Low
.dpb,Low
.dpf,Low
.dpg,Medium
.dph,Low
.dpk,Medium
.dpkw,Low
.dpl,Medium
.dpo,Low
.dpp,Low
.dpr,Medium
.dproj,Low
.dps,High
.dpso,Low
.dpss,Low
.dpsx,Low
.dpt,Medium
.dptx,Low
.dpx,High
.dqy,Very High
.drb,Low
.drc,Very High
.drd,Low
.dream,Low
.dreamchronicles2savedgame,Low
.dreamchroniclessavedgame,Low
.drfx,Low
.drg,Low
.dri,Very High
.drl,Low
.drmmeta,Low
.droid,Low
.dropbox,Low
.drp,Medium
.drr,Low
.drs,Low
.drt,Low
.drv,Very High
.drw,Medium
.drz,Low
.dr_,Low
.ds,Medium
.ds1,Low
.ds10,Low
.ds2,High
.ds3,Low
.ds4,Low
.ds5,Low
.ds6,Low
.ds7,Low
.ds8,Low
.ds9,Low
.dsa,Very High
.dsb,Low
.dsc,Low
.dscn,Low
.dsd,Medium
.dsdb,Low
.dsdic,Low
.dse,Low
.dsf,High
.dsgl,Low
.dsh,Medium
.dshader,Medium
.dsi,Low
.dsk,High
.dsku,Low
.dsl,Low
.dslsetup,Low
.dsm,Very High
.dsn,Very High
.dsp,Very High
.dsprototype,Low
.dsr,Medium
.dss,Very High
.dst,High
.dstudio,Low
.dsv,Very High
.dsw,Very High
.dsx,High
.ds_,Low
.ds_store,Low
.dt,Low
.dt2,Low
.dta,Low
.dtapart,Low
.dtcp-ip,Low
.dtd,Very High
.dtf,Low
.dtk,Low
.dtl,Low
.dto,Low
.dtp,Low
.dtproj,Low
.dtq,Low
.dts,Very High
.dts-hd,Low
.dtsconfig,Very High
.dtsearch,Low
.dtsearchtask,Low
.dtshd,Medium
.dtsma,Low
.dtswa,Low
.dtswav,Low
.dtsx,Very High
.dtt,Low
.dtx,Medium
.dt_,Low
.du1,Low
.du2,Low
.dubaskin,Low
.duck,Low
.duckdb,Low
.duf,Low
.duh,Low
.duk,Low
.dumodule,Low
.dump,Low
.dun,Very High
.duo,Low
.dup,Low
.dup2,Low
.du_,Low
.dv,Very High
.dva,Low
.dvam,Low
.dvb,High
.dvd,Very High
.dvdfab5,Low
.dvdfab6,Medium
.dvdfabbluray2bluray,Medium
.dvdfabbluray2dvd,Medium
.dvdfabbluray2mobile,Medium
.dvdfabbluray2mobile3d,Medium
.dvdfabbluraydecrypt,Low
.dvdfabdecrypter,Low
.dvdfabdvd2dvd,Medium
.dvdfabdvd2mobile,Medium
.dvdfabdvddecryt,Low
.dvdfabfile2bluray,Low
.dvdfabfile2dvd,Low
.dvdfabfile2mobile,Medium
.dvdfabfilemover,Medium
.dvdfabgold5,Low
.dvdfabmobile,Low
.dvdfabmobile2dto3d,Low
.dvdfabplatinum5,Low
.dvdmedia,Low
.dvdproj,Low
.dvdr,Low
.dvf,Medium
.dvi,Medium
.dvp,Low
.dvplaylist,Low
.dvr,Very High
.dvr-m,Low
.dvr-ms,Very High
.dvs,Medium
.dvsd,Low
.dvx,Low
.dwc,Low
.dwd,Low
.dwf,Medium
.dwfb,Low
.dwfx,Very High
.dwg,Very High
.dwg;*.idw,Low
.dwi,Very High
.dwp,Very High
.dwproj,Low
.dwr,Low
.dws,High
.dwt,Very High
.dwz,Low
.dx,Low
.dxb,Medium
.dxe,Medium
.dxf,Very High
.dxh,Low
.dxp,Very High
.dxpack,Low
.dxpackpro,Low
.dxr,Low
.dxt,Medium
.dxtheme,Low
.dxthemepro,Low
.dxu,Medium
.dxx,High
.dyf,Low
.dylib,Low
.dyn;jsessionid=bf5v3ldm1bzn2cqbd0xcfeq,Low
.dz,Low
.dz3dt,Medium
.dza,Low
.dzbl,Low
.dzep,Low
.dzip,Low
.dzl,Low
.dzm,Very High
.dzp,Very High
.dzprj,Low
.dzs,Medium
.dzt,Very High
.dztr,Low
.e,Low
.e-design,Low
.e01,Medium
.eac3,Medium
.eal,Low
.eam,Low
.eap,Very High
.ear,Medium
.eas,Low
.eas-ms,Low
.easm,Low
.easmx,Very High
.eaz,Low
.eba,Low
.ebd,Low
.ebdl,Low
.ebev,Low
.ebf,Low
.ebi,Low
.ebn,Low
.ebo,Low
.ebp,Low
.ebs,Medium
.ebu,Low
.ec3,Medium
.ec4,Low
.ecd,Low
.ecf,Low
.eci,Low
.ecl,Low
.ecp,Low
.ecs,Very High
.ect,Medium
.ecw,Very High
.ec_,Low
.ed,Low
.eda,Low
.edb,Low
.eddx,Low
.edg,Low
.edge,Low
.edi,Low
.edif,Low
.editorconfig,Low
.edl,Low
.edmx,Very High
.edn,High
.edoc,Low
.edpi,Low
.edr,Low
.edrw,Low
.edrwx,Very High
.eds_pckg,Low
.edw,Low
.edx,Low
.edz,Low
.efc,Low
.efi,Low
.efk,Low
.efl9,Low
.efp,Low
.efs,Low
.efslib,Low
.efsp,Low
.efss,Low
.efu,High
.efw,Low
.efx,Low
.egb,Low
.egg,Low
.egisenc,Low
.egisenx,Low
.egp,Low
.egplugin,Low
.egr,Low
.egtree,Low
.egv,Medium
.ehm,Low
.ehplmn,Low
.ehpx,Low
.ehsx,Low
.ehtx,Low
.ei,Low
.eidi,Low
.eif,Medium
.eighteenwheelshaulinsavedgame,Low
.eip,Medium
.eit,Low
.eix,Low
.el,Low
.el1,Medium
.el2,Medium
.el3,Medium
.el4,Medium
.el5,Medium
.el6,Medium
.el7,Low
.el8,Low
.eld,Low
.elf,Low
.elfo,Low
.elg,Low
.elm,Very High
.elx,Low
.em,Medium
.email,Low
.emd;.nl2,Low
.emf,Very High
.emff,Low
.emi,Low
.eml,Very High
.emm,Low
.emo,Low
.emp,Low
.emptybinaryregistry,Very High
.emt,Low
.emulecollection,High
.emx,Low
.emz,Low
.enb,Low
.enc,Very High
.enews,Low
.enf,Low
.enfpack,Low
.eng,Low
.engd,Low
.enigma,Low
.enigma64,Low
.enl,Low
.enlic,Low
.enlx,Low
.enovwebdoc,Low
.enp,Low
.enq,Low
.ens,Low
.ent,Low
.enth,Low
.entl,Low
.enu,Low
.env,Very High
.enw,Low
.enx,Low
.enz,Low
.en_,Low
.eoi,Low
.eop,Low
.eot,Low
.epa,Low
.epa_file,Low
.epc,Low
.epd,Low
.epf,Very High
.epi,Low
.epim,Low
.epp,Low
.epr,Medium
.eprt,Low
.eprtx,Very High
.eps,Very High
.eps2,Low
.eps3,Low
.epsf,Low
.epsi,Low
.ept,Low
.epub,Very High
.eqb,Low
.eqbak,Low
.eqconfig,Low
.eqlog,Low
.eqp,Low
.eragesoundset,Low
.erf,Very High
.ergo,Low
.eri,Low
.err,High
.ers,Low
.ersx,Low
.ersy,Low
.erwin,Low
.esc,Low
.escaperosecliffislandsavedgame,Low
.esd,Low
.esg,Low
.esk,Low
.esm,Low
.esobi,Low
.esp,Medium
.esr,Low
.ess,Low
.est,Low
.esx,Low
.es_,Low
.et,Low
.eta,High
.etd,Medium
.etf,Low
.etl,Very High
.eto,Low
.etp,Low
.etq,Low
.ets,Low
.ett,Low
.ettx,Low
.etx,Low
.eud,Low
.euph,Low
.evb,Low
.evc,Low
.evf,Low
.evn,Low
.evo,Very High
.evob,Low
.evpd,Low
.evr,High
.evrc,High
.evt,Very High
.evtx,Very High
.ew,Low
.ewd,Low
.ex,Low
.ex01,Low
.ex5,Low
.exa,Low
.examl,Low
.examplesavegame,Low
.exb,Low
.exc,Very High
.excs,Low
.exe,Very High
.exe#,Low
.exe2,Low
.exe_,Low
.exe_aq,Low
.exf,Low
.exif,Low
.exp,Very High
.expandrivelicense,Low
.explzhcompress,Low
.explzhdivision,Low
.explzhextract,Low
.export,Low
.exprwdasax,Low
.exprwdasmx,Low
.exprwdbot,Low
.exprwdconfig,Low
.exprwdcss,Low
.exprwddoclib,Low
.exprwdedited,Low
.exprwdhomeop,Low
.exprwdhomepg,Low
.exprwdhtml,Low
.exprwdhtt,Low
.exprwdjs,Low
.exprwdlinkbar,Low
.exprwdlist,Low
.exprwdlistdata,Low
.exprwdmaster,Low
.exprwdnav,Low
.exprwdnopub,Low
.exprwdopen,Low
.exprwdpiclib,Low
.exprwdresx,Low
.exprwdshtm,Low
.exprwdshtml,Low
.exprwdsitemap,Low
.exprwdskin,Low
.exprwdstm,Low
.exprwdsurvey,Low
.exprwdtheme,Low
.exprwdtxt,Low
.exprwdunknown,Low
.exprwdweb,Low
.exprwdwfdoclib,Low
.exprwdxml,Low
.exprwdxoml,Low
.exprwdxsl,Low
.exprwdxslt,Low
.exr,Very High
.ext,Low
.ext2,Low
.extra,Low
.exw,Low
.ex_,Low
.eyaml,Low
.eyb,Low
.eyml,Low
.ezconfig,Low
.eze,Low
.ezhex,Low
.ezlog,Low
.ezsetup,Low
.eztut,Low
.eztutor,Low
.ezup,Low
.ezupgrade,Low
.f,Medium
.f1s,Low
.f2k,Low
.f32,Low
.f3d,Low
.f4a,High
.f4b,Low
.f4f,Low
.f4m,Low
.f4p,High
.f4v,Very High
.f4x,Low
.f5c,Low
.f77,Low
.f90,Medium
.f95,Medium
.fabbproject,Low
.fabpfpkg,Low
.fad,Very High
.fag,Low
.failed,Low
.fairytreasuresavedgame,Low
.fam,Low
.familyfeudthreesavedgame,Low
.familyx,Low
.fan,Low
.fap,Low
.faq,Low
.far,Very High
.farmfrenzypizzapartysavedgame,Low
.farmfrenzysavedgame,Low
.farrun,Low
.fas,High
.fat,Very High
.fatesavedgame,Medium
.fateundiscoveredrealmssavedgame,Low
.fav,Very High
.favorite,Low
.fax,High
.fb2,Low
.fb2.zip,Low
.fb2k-component,High
.fba,Low
.fbat,Low
.fbd,Low
.fbexplore,Low
.fbfilesetx,Low
.fbk,Low
.fbl,Low
.fboptsx,Low
.fbp,Low
.fbr,Low
.fbs,Low
.fbt,Low
.fbv,Low
.fbwinsx,Low
.fbx,Very High
.fbz,Low
.fc,Low
.fc13,Low
.fc14,Low
.fc2,Low
.fc3,Low
.fc4,Low
.fcat,Low
.fcd,High
.fcdt,High
.fcfx,Low
.fcm,Low
.fcp,Low
.fcs,Very High
.fcz,Low
.fd,Low
.fd2,Low
.fdb,Low
.fdc,Very High
.fdd,Low
.fdf,Very High
.fdff,Low
.fdi,Low
.fdl,Low
.fdlang2,Low
.fdlang4,Low
.fdm,Very High
.fdmuplsendtoshlext,Low
.fdp,Low
.fdpart,Low
.fds,Low
.fdsrch2,Low
.fdxsl2,Low
.fdxsl4,Low
.fea,Low
.feap,Low
.feature,High
.fedb,Low
.feed,Low
.feed-ms,Low
.feedback,High
.feedsdb-ms,Low
.fem,Low
.fen,Low
.feq,Low
.ff,Low
.ffa,Very High
.ffapreset,Low
.ffbeauty,Low
.ffblush,Low
.ffcmd,Low
.ffebrow,Low
.ffeiris,Low
.ffelash,Low
.ffeline,Low
.ffeshadow,Low
.ffeye,Low
.fff,Very High
.fffilter,Low
.fffocuslayer,Low
.ffhilight,Low
.ffl,Very High
.ffli,Low
.fflip,Low
.ffmakeup,Low
.ffo,Very High
.ffpreset,Low
.ffproject,Low
.ffshape,Low
.ffskin,Low
.ffs_batch,Medium
.ffs_db,Medium
.ffs_gui,Medium
.ffs_real,Medium
.fft,Very High
.ffteeth,Low
.ffx,Very High
.ffxml,Low
.ffxptheme,Low
.fga,Low
.fgdoc,Low
.fgdump-log,Low
.fgs,Low
.fgsheet,Low
.fgslide,Low
.fh,Low
.fh10,Low
.fh11,Low
.fh8,Low
.fh9,Low
.fhc,Low
.fhd,Low
.fhf,Low
.fhq,Low
.fhr,Low
.fhs,Low
.fht,Low
.fhx,Low
.fhz,Low
.fh_proj,Low
.fi,Low
.fid,Low
.fido,Medium
.fidx,Low
.fif,Low
.fig,High
.fil,Low
.file,Low
.filegroup,Low
.fill,Low
.filp,Low
.filter,Low
.filters,Very High
.finaldrivenitrosavedgame,Low
.fins,Low
.fipv,Low
.fishdomsavedgame,Low
.fit,Very High
.fitreg,Low
.fits,High
.fiz,Low
.fj3,Low
.fkc,Low
.fky,Low
.fl3,Very High
.fla,Very High
.flac,Very High
.flashfxp_picon,Low
.flatpakref,Low
.flb,Low
.flc,Very High
.fld,Medium
.flf,Low
.flg,Low
.flh,Low
.fli,Very High
.flib,Low
.flic,Very High
.flinstaller,Low
.flk,Low
.flka,Low
.flkb,Low
.flkey,Low
.fll,Low
.flmod,Low
.floq,Low
.flow,High
.flowerquestsavedgame,Low
.flowmaplibrary,Low
.flp,Very High
.fls,Low
.flst,Very High
.flt,Very High
.flv,Very High
".flv""",Low
.flve,Low
.flvp,Low
.flw,Low
.flwa,Low
.flx,Low
.fm,Low
.fmf,Low
.fmp,High
.fmsh,Low
.fmt,Low
.fmx,Medium
.fnd,Very High
.fng,Low
.fnt,Low
.fo,Low
.fo4pas,Low
.foam,Low
.fob,Low
.fodg,High
.fodp,High
.fods,High
.fodt,High
.fol,Low
.folder,Low
.foldersharelibrary,Low
.foldershareoverlayadded,Low
.foldershareoverlaychanged,Low
.foldershareoverlaydeleted,Low
.foli,Low
.folio,Low
.fomod,Low
.fon,Very High
.fonts,Low
.for,Low
.forge,Low
.fossil,Low
.fourelementssavedgame,Low
.fo_,Low
.fp,Medium
.fp2,Low
.fp5,Low
.fp7,Low
.fpdoclib,Low
.fpgtrg,Low
.fphomeop,Low
.fphomepg,Low
.fphtml,Medium
.fpj,Low
.fpk,Low
.fpl,Low
.fplinkbar,Low
.fplist,Low
.fplistdata,Low
.fpnav,Low
.fpnopub,Low
.fpopen,Low
.fpp,Low
.fppiclib,Low
.fpr,Low
.fprg,Low
.fpsl,Low
.fpsurvey,Low
.fpt,Medium
.fptheme,Low
.fpweb,Low
.fpx,Very High
.fpxml,Low
.fqf,Low
.fr3,Low
.fr4,Low
.fra,High
.fragment,Low
.frd,Low
.frdat,Low
.free,Low
.freecellsave-ms,Very High
.freepp,Low
.fres,Low
.freshcontact,Low
.freshroute,Low
.frf,Low
.frg,Very High
.fri,Low
.frm,High
.fro,Low
.frp,Low
.frs,Low
.frt,Low
.fruitfallsavedgame,Low
.frw,Low
.frx,High
.fr_,Low
.fs,Very High
.fsat,Low
.fsb,Low
.fsc,Medium
.fset,Low
.fsh,Very High
.fshotfix,Low
.fsi,Very High
.fsl,Low
.fsm,Low
.fsn,Low
.fsp,Low
.fsproj,Very High
.fsqueue,Low
.fsrc,Low
.fssave,Low
.fsscript,Very High
.fssx,Low
.fst,Medium
.fsw,Low
.fsx,Very High
.ft,Low
.ft10,Low
.ft11,Low
.ft8,Low
.ft9,Low
.ftc,Low
.ftd,Low
.ftes,Low
.fth,High
.ftm,Low
.ftmb,Low
.ftp,Low
.ftpc,Low
.fts,Low
.ftvx,Low
.ftw,Low
.ftx,Very High
.fud,Low
.fun,Low
.funkiballadventuresavedgame,Low
.fun_list,Low
.fup,Low
.furl,Low
.fv,Low
.fvp,Low
.fw,Low
.fwa,Low
.fwdn,Low
.fwiz,Low
.fwp,High
.fws,Low
.fwu,Low
.fx,Very High
.fx3,Low
.fxb,Low
.fxcop,Low
.fxd,Low
.fxe,Low
.fxg,Very High
.fxm,Low
.fxo,Low
.fxp,High
.fxpl,Medium
.fxpreset,Low
.fxpreset_pack,Low
.fxr,Low
.fxs,Low
.fxt,Low
.fxw,Low
.fx_t,Low
.fyc,Low
.fz,Low
.fzb,Low
.fzbz,Low
.fzip,Low
.fzm,Low
.fzp,Low
.fzpz,Low
.fzs,Low
.fzz,Low
.g09,Low
.g10,Low
.g11,Low
.g1a,Low
.g1e,Low
.g1l,Low
.g1m,Low
.g1n,Low
.g1r,Low
.g1s,Low
.g1w,Low
.g2e,Low
.g2m,Low
.g2r,Low
.g3,Very High
.g3f,Low
.g3n,Low
.g64,Low
.g722,Low
.gadget,Very High
.gai,Low
.galapagosavedgame,Low
.galsave,Low
.gam,Low
.game,Low
.gan,Low
.gas,Low
.gasx,Low
.gb,Low
.gb1,Low
.gb7,Low
.gba,Low
.gba.ds,Low
.gbc,Low
.gbhs,Low
.gbi,Low
.gblorb,Low
.gbm,Low
.gbp,Low
.gbproj,Low
.gbr,Very High
.gbs,Low
.gbt,Low
.gbts,Low
.gc3,Low
.gca,Medium
.gcd,High
.gcf,Low
.gch,Low
.gci,Low
.gcm,Low
.gcp,Low
.gcs,Low
.gcscenario,Low
.gcsx,Very High
.gcw,Medium
.gcx,Low
.gd3,Low
.gdb,Low
.gdd,Low
.gddoc,Low
.gddraw,Low
.gdfmakerproject,Medium
.gdform,Low
.gdi,Low
.gdl,Low
.gdlink,Low
.gdm,Low
.gdnote,Low
.gdoc,Very High
.gdraw,Very High
.gdrive,Low
.gds,Low
.gdscript,Low
.gdsheet,Low
.gdslides,Low
.gdtable,Low
.gdw,Low
.geany,Low
.ged,Medium
.gel,Low
.gem,Medium
.gemspec,Low
.gen,Low
.generictest,High
.genh,Low
.geo,Low
.geojson,Low
.geoproj,Low
.geor,Low
.geot,Low
.gep,Low
.gephi,Low
.get,Low
.getright,Low
.gexf,Low
.gez,Low
.gfb,Low
.gfd,Low
.gfe,High
.gfi,Low
.gfie,Low
.gform,Very High
.gfs,Very High
.gfx,Low
.gg,High
.gg1,Low
.ggb,Low
.ggc,Medium
.ggg,Low
.ggt,Low
.gh,Low
.gha,Low
.ghash,Low
.ghg,Low
.ghlayout,Low
.gho,Low
.ghs,Low
.ghuser,Low
.ghx,Low
.gi,Very High
.gid,Low
.gif,Very High
.gifenx,Low
.giff,Medium
.gif~c200,Low
.gig,Low
.gih,Very High
.gim,Low
.git,Low
.gitattributes,High
.gitconfig,Low
.gitext,Low
.gitignore,High
.gitmodules,High
.gix,Low
.gizmo,Low
.gi_,Low
.gjam,High
.gjd,Low
.gla,Low
.gladinetsp,Low
.glb,High
.glink,Very High
.glk,Very High
.glm,Low
.glox,Very High
.glr,Low
.gls,Low
.gltf,High
.glua,Low
.gluaw,Low
.glw,Low
.gly,Low
.glyph2savedgame,Low
.glyphsavedgame,Low
.gm6,Low
.gm81,Low
.gmad,Low
.gmailfs,Low
.gmanifest,Medium
.gmap,Very High
.gmb,Low
.gmbl,Low
.gmd,Low
.gme,Low
.gmf,Low
.gmk,Low
.gml,Low
.gmmp,Very High
.gmo,Low
.gms,Low
.gmw,Low
.gmx,Low
.gmxp,Low
.gmz,Low
.gna,Low
.gnd,Low
.gnote,High
.gnucash,Low
.gnutar,Low
.gnx,Low
.go,Low
.gob,Low
.god,Low
.gom,High
.google2,Low
.goomod,Low
.gotomeeting,Low
.gotomeeting1082,Low
.gotomeeting2539,Low
.gotomeeting3499,Low
.gotomeeting3880,Low
.gotomeeting3911,Low
.gotomeeting4007,Low
.gotomeeting4062,Low
.gotomeeting4099,Low
.gotomeeting4151,Low
.gotomeeting4190,Low
.gotomeeting4288,Low
.gotomeeting4340,Low
.gotomeeting4376,Low
.gotomeeting4419,Low
.gotomeeting6039,Low
.gotomeeting6090,Low
.gotomeeting6140,Low
.gotomeeting6291,Low
.gotoopener,Low
.gotoopener491,Low
.governorofpoker2premiumeditionsavedgame,Low
.goz,Low
.gp,Low
.gp3,Low
.gp4,Medium
.gp5,Low
.gpb,Very High
.gpbank,Low
.gpd,Low
.gpf,Low
.gpg,Low
.gph,Low
.gpj,Low
.gpkg,Low
.gpl,Low
.gpr,Low
.gprop,Low
.gps,Very High
.gpt,Low
.gpx,Medium
.gp_,Low
.gqsx,Very High
.gr7,Low
.gr8,Low
.gr9,Low
.gra,Very High
.gradientlibrary,Low
.grammar,Low
.gramps,Low
.graphml,Low
.graphmlz,Low
.grd,Very High
.grdb,Low
.greenshot,Medium
.grey,Low
.grf,Medium
.grfx,Very High
.gro,Low
.groove,Low
.groovy,Low
.group,Very High
.groupproj,Low
.groups,Low
.grov,Low
.grp,Very High
.grph,Low
.grs,Low
.grv,Very High
.grx,Low
.gry,Low
.gr_,Low
.gs,Low
.gsa,Very High
.gsb,Low
.gsba,Low
.gsc,Low
.gscript,Very High
.gsdu,Low
.gsf,High
.gsh,Medium
.gshader,Medium
.gsheet,Very High
.gshortcut,Low
.gsite,High
.gsk,Low
.gslides,Very High
.gsm,Very High
.gsms,Low
.gso,Low
.gsp,Low
.gss,Low
.gst,Low
.gta,Very High
.gtabin,Low
.gtable,Very High
.gtar,Low
.gtarchiv,Low
.gte,Low
.gtm,Low
.gtp,Low
.gtr,Low
.gtz,Low
.gui,Low
.gun,Low
.gvd,Low
.gvi,Very High
.gvm,Low
.gvp,Low
.gw,Low
.gwx,Low
.gwz,Low
.gxb,Low
.gxd,Low
.gxf,Very High
.gxkey,Low
.gxt,Low
.gym,Low
.gym_zip,Low
.gz,Very High
.gza,Low
.gzip,Very High
.gzndx,Low
.gzp,Low
.h,Very High
.h++,Low
.h1c,Very High
.h1d,Very High
.h1f,Very High
.h1h,Very High
.h1k,Very High
.h1q,Very High
.h1s,Very High
.h1t,Very High
.h1v,Very High
.h1w,Very High
.h261,Low
.h263,Low
.h264,High
.h265,Low
.h26l,Low
.h2w,Low
.h2_,Low
.h3d,Low
.h4r,Low
.h4v,Low
.h5,Low
.h5bprj,Low
.h5c,Low
.h5m,Low
.h5p,Low
.h5u,Low
.ha,Low
.hal,Low
.halog,Low
.ham6,Low
.ham8,Low
.hamachi,Low
.handlebars,Low
.happyfish,Low
.har,Low
.hash,Low
.hashes,Low
.hb,Low
.hbk,Low
.hbm,Low
.hbs,Low
.hc,Low
.hcd,Low
.hci,Low
.hcj,Low
.hckx,Low
.hcode,Low
.hcp,Low
.hcr,Low
.hct,Low
.hcu,Low
.hd,High
.hd2,Low
.hda,Low
.hdalc,Low
.hdanc,Low
.hdd,Very High
.hdev,Low
.hdf,Low
.hdg,Low
.hdi,High
.hdmov,Very High
.hdmp,Very High
.hdp,Very High
.hdr,Very High
.hdri,Low
.hds,Low
.hdv,Low
.hdvp,Low
.hdz,Low
.header,Low
.heartssave-ms,Very High
.hebundle,Low
.hed,Low
.heic,Low
.heif,Low
.hejs,Low
.help,Low
.hemcr,Low
.heprj,Low
.heroesofhellas2olympiasavedgame,Low
.heroesofhellassavedgame,Low
.hes,Low
.heu,Low
.hevbs,Low
.hevc,Low
.hewsp,Low
.hex,Medium
.hexbook,Low
.hexdwc,Low
.hexhis,Low
.hexlic,Low
.hexpatch,Low
.hexsel,Low
.hexset,Low
.hfc,Low
.hfp,Low
.hfs,Very High
.hfv,Low
.hfw,Low
.hg1,Low
.hgb,Low
.hgc1,Low
.hgl,Low
.hgm,Low
.hgr,Low
.hh,Very High
.hh7,Low
.hhc,High
.hhk,Medium
.hhp,High
.hiddenobjectgameshowsavedgame,Low
.hie,Low
.hif,Low
.him,Low
.hip,Low
.hiplc,Low
.hipnc,Low
.hips,Low
.hir,Low
.his,Low
.hit,Low
.hiv,Low
.hjt,Low
.hl7,Low
.hlf,Low
.hlh,Low
.hlp,Very High
.hlp_aq,Low
.hlr,Low
.hlsl,High
.hlsli,High
.hlv,Low
.hl_,Low
.hm10,Low
.hm11,Low
.hm12,Low
.hm91,Low
.hmd,Low
.hml,Medium
.hmp,Low
.hmt,Low
.hnd,Low
.hnl,Low
.hnq,Low
.hnt,Low
.hnv,Low
.ho!,Low
.hog,Low
.hol,Very High
.holdemsave-ms,Low
.homemakeoversavedgame,Low
.honmod,Low
.honreplay,Low
.hosts,Low
.hot,Low
.hotlist,Low
.hp,Low
.hp1,Low
.hp2,Low
.hp3,Low
.hp4,Low
.hp6,Low
.hp7,Low
.hp8,Low
.hp9,Low
.hpa,Low
.hpb,Low
.hpc,Low
.hpd,Low
.hpe,Low
.hpf,Low
.hpg,Low
.hpgl,Low
.hph,Low
.hpi,Low
.hpj,Low
.hpk,Low
.hpkg,Low
.hpl,Low
.hpm,Low
.hpn,Low
.hpo,Low
.hpp,Very High
.hpr,Low
.hprj,Low
.hps,Low
.hpt,Low
.hqx,Very High
.hr,Low
.hr2,Low
.hrd,Low
.hrf,Low
.hrz,Low
.hs,Low
.hs6lic,Low
.hs7lic,Low
.hs8lic,Low
.hsc,Low
.hsg,Low
.hsh,Medium
.hshader,Medium
.hsi,Low
.hskat,Low
.hsm,Low
.hsp,Low
.hst,Low
.ht,Very High
.ht1,Low
.hta,Very High
.htaccess,High
.htaccess_1und1,Low
.hta_aq,Low
.htc,Very High
.htk,Very High
.htm,Very High
.htm&rloc=__ezmqpfdcemg__4p6xdf5dkd2__thonjgx8ani__ind_,Low
.htm2,Low
.htmenx,Low
.htmhjt,Low
.html,Very High
.html-,Low
.htmlenx,Low
.htmls,Low
.htpasswd,Low
.htt,Very High
.htw,Medium
.htx,Very High
.ht_,Low
.huf,Low
.hun,Low
.hv3,Low
.hvc1,Low
.hvj,Low
.hwas,Low
.hwl,Low
.hwp,Low
.hws,Low
.hwt,Low
.hx1,Low
.hxa,Very High
.hxb,Low
.hxc,Very High
.hxd,Very High
.hxe,Very High
.hxf,Very High
.hxh,Very High
.hxi,Very High
.hxk,Very High
.hxl,Low
.hxm,Low
.hxn,Low
.hxq,Very High
.hxr,Very High
.hxs,Very High
.hxt,Very High
.hxv,Very High
.hxw,Very High
.hxx,Very High
.hx_,Low
.hydra,Medium
.hyp,Very High
.hyperballoidthecompleteeditionsavedgame,Low
.hyperballoidthenextchallengesavedgame,Low
.hyph,Low
.i,Very High
.i00,Low
.i18n,Low
.i2b,Low
.i2g,Low
.i61,Low
.i64,Low
.ia,Low
.iab,Low
.iad,Low
.iaf,Low
.iajfuedca,Low
.iam,Low
.ibadr,Medium
.ibb,Low
.ibc,Very High
.ibd,Low
.ibdat,Medium
.ibe,Low
.ibg,Low
.ibp,Medium
.ibpt,Low
.ibq,High
.ibr,Low
.ibtmpl,Low
.ib_lic,Low
.ib_mon,Low
.ica,High
.ical,Low
.icalevent,Low
.icaltodo,Low
.icap,High
.icb,High
.icbu,Low
.icc,Very High
.ice,Low
.icf,Low
.icg,Low
.ichat,Low
.ichattransfer,Low
.icl,Very High
.icm,Very High
.icma,High
.icml,High
.icmt,High
.icn,Medium
.icns,High
.ico,Very High
.icon,High
.iconpack,Low
.iconpackage,Medium
.icontainer,Low
.icp,Low
.icpr,Low
.icr,Low
.ics,Very High
.icst,High
.icx,Low
.ic_,Low
.id,Low
.idap,High
.idb,Very High
.idc,Medium
.ide,Low
.idea,High
.identifier,Low
.idf,Low
.idl,Very High
.idlk,Very High
.idm,Low
.idml,High
.idms,High
.idn,Low
.idp,Low
.idpk,Very High
